group1,group2,meandiff,p-adj,lower,upper,reject
Human-NS,LLM-S,0.0372,0.0,0.0231,0.0512,True
Human-NS,LLM-NS,-0.041,0.0,-0.0551,-0.0269,True
Human-NS,LLM-HP,-0.1778,0.0,-0.1921,-0.1635,True
Human-NS,LLM-LDMK,-0.1365,0.0,-0.1508,-0.1222,True
Human-NS,LLM-COMB,-0.1882,0.0,-0.2025,-0.1739,True
LLM-S,LLM-NS,-0.0782,0.0,-0.0923,-0.0641,True
LLM-S,LLM-HP,-0.215,0.0,-0.2293,-0.2007,True
LLM-S,LLM-LDMK,-0.1737,0.0,-0.1881,-0.1594,True
LLM-S,LLM-COMB,-0.2254,0.0,-0.2398,-0.2111,True
LLM-NS,LLM-HP,-0.1368,0.0,-0.1512,-0.1224,True
LLM-NS,LLM-LDMK,-0.0955,0.0,-0.1099,-0.0811,True
LLM-NS,LLM-COMB,-0.1472,0.0,-0.1616,-0.1329,True
LLM-HP,LLM-LDMK,0.0413,0.0,0.0267,0.0559,True
LLM-HP,LLM-COMB,-0.0104,0.0526,-0.025,0.0042,False
LLM-LDMK,LLM-COMB,-0.0517,0.0,-0.0663,-0.0371,True
